Restaurant Name,City,Cuisines,Average Cost for two,Price range,Has Online delivery,Has Table booking,Votes,Aggregate rating,Longitude,Latitude,price_bucket,content
Skye - Hotel Unique,S��o Paulo,"beverages, international",300,4,offline,offline,59,4.8,-46.666851,-23.581688,moderate,"beverages, international S��o Paulo moderate offline offline"
Les 3 Brasseurs,S��o Paulo,"french, brazilian, beverages",120,4,offline,offline,30,4.6,-46.67511,-23.582135,cheap,"french, brazilian, beverages S��o Paulo cheap offline offline"
Red Steak & Burger,S��o Paulo,"brazilian, grill",75,3,offline,offline,5,3.9,-46.683888,-23.585324,cheap,"brazilian, grill S��o Paulo cheap offline offline"
Cantinho da Gula,S��o Paulo,brazilian,55,2,offline,offline,0,0.0,-46.67566667,-23.581,cheap,brazilian S��o Paulo cheap offline offline
Paris 6 Classique,S��o Paulo,french,200,4,offline,offline,73,3.4,-46.666041,-23.561568,cheap,french S��o Paulo cheap offline offline
Kawa Sushi,S��o Paulo,"sushi, japanese",120,4,offline,offline,9,3.5,-46.657418,-23.571638,cheap,"sushi, japanese S��o Paulo cheap offline offline"
A Figueira Rubaiyat,S��o Paulo,"bbq, grill, brazilian",300,4,offline,offline,39,4.3,-46.66983333,-23.5655,moderate,"bbq, grill, brazilian S��o Paulo moderate offline offline"
Kinoshita,S��o Paulo,sushi,230,4,offline,offline,12,3.9,-46.67133333,-23.59233333,moderate,sushi S��o Paulo moderate offline offline
Meats,S��o Paulo,"gourmet fast food, burger",120,4,offline,offline,68,4.3,-46.68133333,-23.56483333,cheap,"gourmet fast food, burger S��o Paulo cheap offline offline"
Paribar,S��o Paulo,"brazilian, italian",150,4,offline,offline,46,4.3,-46.64159444,-23.54664167,cheap,"brazilian, italian S��o Paulo cheap offline offline"
Terra�_o It��lia,S��o Paulo,italian,400,4,offline,offline,37,4.4,-46.643425,-23.545163,moderate,italian S��o Paulo moderate offline offline
Divino Fog��o,S��o Paulo,"brazilian, mineira",65,3,offline,offline,2,0.0,-46.63716667,-23.5995,cheap,"brazilian, mineira S��o Paulo cheap offline offline"
Super Grill,S��o Paulo,brazilian,50,2,offline,offline,2,0.0,-46.698574,-23.622925,cheap,brazilian S��o Paulo cheap offline offline
Esquina Mocot�_,S��o Paulo,"brazilian, north eastern",100,4,offline,offline,22,4.4,-46.581672,-23.486535,cheap,"brazilian, north eastern S��o Paulo cheap offline offline"
Veloso,S��o Paulo,"brazilian, bar food, beverages",70,3,offline,offline,58,4.6,-46.63566667,-23.58516667,cheap,"brazilian, bar food, beverages S��o Paulo cheap offline offline"
Sainte Marie Gastronomia,S��o Paulo,"lebanese, arabian",120,4,offline,offline,11,4.1,-46.746958,-23.609207,cheap,"lebanese, arabian S��o Paulo cheap offline offline"
Austin's BBQ and Oyster Bar,Albany,"bbq, burger, seafood",25,2,offline,offline,35,3.3,-84.221535,31.610387,cheap,"bbq, burger, seafood Albany cheap offline offline"
BJ's Country Buffet,Albany,"american, bbq",10,1,offline,offline,25,3.3,-84.207095,31.608743,cheap,"american, bbq Albany cheap offline offline"
Cookie Shoppe,Albany,unknown,0,1,offline,offline,34,3.4,-84.154,31.5772,cheap,unknown Albany cheap offline offline
El Vaquero Mexican Restaurant,Albany,mexican,0,1,offline,offline,45,3.4,-84.2194,31.6158,cheap,mexican Albany cheap offline offline
Elements Coffee Co - Northwest,Albany,"coffee and tea, sandwich",10,1,offline,offline,26,3.4,-84.206944,31.622412,cheap,"coffee and tea, sandwich Albany cheap offline offline"
Pearly's Famous Country Cookng,Albany,unknown,0,1,offline,offline,36,3.4,-84.1759,31.5882,cheap,unknown Albany cheap offline offline
Chick-fil-A,Albany,fast food,10,1,offline,offline,67,3.5,-84.2193,31.616,cheap,fast food Albany cheap offline offline
Guang Zhou Chinese Restaurant,Albany,"asian, chinese, vegetarian",10,1,offline,offline,141,3.9,-84.2091458,31.6155186,cheap,"asian, chinese, vegetarian Albany cheap offline offline"
Harvest Moon,Albany,"pizza, bar food, sandwich",25,2,offline,offline,147,3.7,-84.205718,31.604905,cheap,"pizza, bar food, sandwich Albany cheap offline offline"
Henry Campbell's Steakhouse,Albany,"steak, tapas, bar food",70,4,offline,offline,51,3.5,-84.223278,31.612121,cheap,"steak, tapas, bar food Albany cheap offline offline"
Hong Kong Cafe,Albany,"chinese, seafood, vegetarian",25,2,offline,offline,88,3.6,-84.2191,31.6156,cheap,"chinese, seafood, vegetarian Albany cheap offline offline"
House of China Restaurant II,Albany,chinese,10,1,offline,offline,153,3.8,-84.212,31.6104,cheap,chinese Albany cheap offline offline
Jimmie's Hot Dogs,Albany,unknown,10,1,offline,offline,160,3.9,-84.1534,31.5751,cheap,unknown Albany cheap offline offline
Locos Grill & Pub,Albany,"american, burger, sandwich",25,2,offline,offline,57,3.5,-84.2228,31.6077,cheap,"american, burger, sandwich Albany cheap offline offline"
Longhorn Steakhouse,Albany,"american, steak",25,2,offline,offline,58,3.5,-84.2229,31.6185,cheap,"american, steak Albany cheap offline offline"
Mikata Japanese Steakhouse,Albany,"japanese, steak, sushi",40,3,offline,offline,115,3.6,-84.2164,31.6137,cheap,"japanese, steak, sushi Albany cheap offline offline"
Shogun Japanese Steak House,Albany,"japanese, steak, sushi",40,3,offline,offline,51,3.5,-84.2233,31.6118,cheap,"japanese, steak, sushi Albany cheap offline offline"
The Catch Seafood Room & Oyster Bar,Albany,"seafood, tapas, bar food",40,3,offline,offline,250,3.8,-84.205025,31.605882,cheap,"seafood, tapas, bar food Albany cheap offline offline"
Villa Gargano,Albany,"italian, pizza",10,1,offline,offline,117,3.7,-84.1757,31.5985,cheap,"italian, pizza Albany cheap offline offline"
3 Squares Diner,Albany,"american, breakfast, diner",10,1,offline,offline,20,3.4,-83.8389,31.5308,cheap,"american, breakfast, diner Albany cheap offline offline"
Whitebull Hotel,Armidale,"bar food, steak",20,2,offline,offline,25,3.5,151.6688792,-30.5147169,cheap,"bar food, steak Armidale cheap offline offline"
Last Resort Grill,Athens,"american, southern, southwestern",40,3,offline,offline,1821,4.5,-83.378273,33.957999,cheap,"american, southern, southwestern Athens cheap offline offline"
Mama's Boy Restaurant,Athens,southern,10,1,offline,offline,849,4.5,-83.3654,33.9535,cheap,southern Athens cheap offline offline
Sr. Sol 1,Athens,mexican,10,1,offline,offline,917,4.6,-83.4293,33.9652,cheap,mexican Athens cheap offline offline
Choo Choo Eastside,Athens,"japanese, korean",10,1,offline,offline,439,3.9,-83.3389,33.9259,cheap,"japanese, korean Athens cheap offline offline"
The Grill,Athens,"breakfast, burger, sandwich",10,1,offline,offline,289,3.7,-83.375523,33.958198,cheap,"breakfast, burger, sandwich Athens cheap offline offline"
Big City Bread Cafe,Athens,"breakfast, sandwich",10,1,offline,offline,558,4.3,-83.384004,33.959392,cheap,"breakfast, sandwich Athens cheap offline offline"
Clocked,Athens,"american, burger, sandwich",10,1,offline,offline,613,4.2,-83.3797,33.9584,cheap,"american, burger, sandwich Athens cheap offline offline"
DePalma's Italian Cafe - Downtown,Athens,"american, italian, pizza",25,2,offline,offline,353,4.0,-83.373596,33.958112,cheap,"american, italian, pizza Athens cheap offline offline"
DePalma's Italian Cafe - East Side,Athens,"american, italian, pizza",25,2,offline,offline,387,4.1,-83.33995,33.924275,cheap,"american, italian, pizza Athens cheap offline offline"
Five & Ten,Athens,american,40,3,offline,offline,755,4.3,-83.3872482,33.9415545,cheap,american Athens cheap offline offline
Grit,Athens,"international, southern, vegetarian",10,1,offline,offline,800,4.2,-83.381625,33.960112,cheap,"international, southern, vegetarian Athens cheap offline offline"
Ike & Jane,Athens,sandwich,10,1,offline,offline,350,4.1,-83.400887,33.963296,cheap,sandwich Athens cheap offline offline
La Dolce Vita Ristorante,Athens,italian,40,3,offline,offline,464,4.1,-83.4075,33.9584,cheap,italian Athens cheap offline offline
Shokitini,Athens,"asian, japanese, sushi",25,2,offline,offline,550,4.2,-83.379251,33.957503,cheap,"asian, japanese, sushi Athens cheap offline offline"
Taqueria Del Sol,Athens,"mexican, spanish",10,1,offline,offline,543,4.1,-83.383605,33.960571,cheap,"mexican, spanish Athens cheap offline offline"
The National,Athens,"international, southern",40,3,offline,offline,465,4.1,-83.37967,33.959468,cheap,"international, southern Athens cheap offline offline"
The Royal Peasant,Athens,bar food,10,1,offline,offline,546,4.4,-83.38728,33.937502,cheap,bar food Athens cheap offline offline
Transmetropolitan,Athens,"italian, pizza, sandwich",10,1,offline,offline,1098,4.4,-83.3764,33.9584,cheap,"italian, pizza, sandwich Athens cheap offline offline"
Trappeze Pub,Athens,"burger, bar food",25,2,offline,offline,579,4.2,-83.378881,33.958363,cheap,"burger, bar food Athens cheap offline offline"
Viva! Argentine Cuisine,Athens,"desserts, latin american, argentine",10,1,offline,offline,374,4.1,-83.3828224,33.9600227,cheap,"desserts, latin american, argentine Athens cheap offline offline"
Miyabi Kyoto Japanese Steak House,Augusta,"chinese, steak",40,3,offline,offline,717,4.6,-82.0865,33.4721,cheap,"chinese, steak Augusta cheap offline offline"
Rae's Coastal Cafe,Augusta,"american, caribbean, seafood",40,3,offline,offline,548,4.9,-82.0698,33.4791,cheap,"american, caribbean, seafood Augusta cheap offline offline"
The Bee's Knees,Augusta,"international, tapas, vegetarian",25,2,offline,offline,631,4.5,-81.97,33.4765,cheap,"international, tapas, vegetarian Augusta cheap offline offline"
Boll Weevil Cafe,Augusta,"desserts, sandwich, southern",10,1,offline,offline,372,3.9,-81.9684,33.474,cheap,"desserts, sandwich, southern Augusta cheap offline offline"
Farmhaus Burger,Augusta,"american, burger",25,2,offline,offline,201,3.9,-81.973006,33.477444,cheap,"american, burger Augusta cheap offline offline"
Manuel's Bread Cafe,Augusta,"breakfast, french",40,3,offline,offline,332,3.8,-81.965571,33.481779,cheap,"breakfast, french Augusta cheap offline offline"
Sconyers Bar B Que,Augusta,bbq,25,2,offline,offline,304,3.5,-82.0327,33.4086,cheap,bbq Augusta cheap offline offline
Frog Hollow Tavern,Augusta,american,40,3,offline,offline,368,4.3,-81.974944,33.478231,cheap,american Augusta cheap offline offline
Giuseppe's Pizza & Italian Specialities,Augusta,"desserts, italian, pizza",25,2,offline,offline,430,4.1,-82.096,33.4827,cheap,"desserts, italian, pizza Augusta cheap offline offline"
Mellow Mushroom,Augusta,"italian, pizza, sandwich",25,2,offline,offline,433,4.4,-81.9721,33.4778,cheap,"italian, pizza, sandwich Augusta cheap offline offline"
Nacho Mamas Burritos,Augusta,mexican,10,1,offline,offline,380,4.0,-81.9694,33.4764,cheap,mexican Augusta cheap offline offline
Rhinehart's Oyster Bar,Augusta,"bar food, sandwich, seafood",25,2,offline,offline,456,4.0,-82.0505,33.5133,cheap,"bar food, sandwich, seafood Augusta cheap offline offline"
Takosushi,Augusta,"mexican, southwestern, sushi",40,3,offline,offline,647,4.2,-82.0301,33.4848,cheap,"mexican, southwestern, sushi Augusta cheap offline offline"
The Chop House,Augusta,steak,40,3,offline,offline,360,4.0,-82.080788,33.467201,cheap,steak Augusta cheap offline offline
The Taj of India,Augusta,indian,25,2,offline,offline,227,4.0,-82.0805493,33.5375868,cheap,indian Augusta cheap offline offline
Augsburg Haus,Augusta,german,25,2,offline,offline,290,3.9,-82.143793,33.544342,cheap,german Augusta cheap offline offline
Pho Bac,Augusta,vietnamese,10,1,offline,offline,270,4.1,-82.126161,33.532249,cheap,vietnamese Augusta cheap offline offline
Rhinehart's Oyster Bar,Augusta,"burger, seafood",25,2,offline,offline,326,4.0,-82.141284,33.521291,cheap,"burger, seafood Augusta cheap offline offline"
Thai Kitchen,Augusta,thai,35,3,offline,offline,317,4.3,-82.1328,33.5406,cheap,thai Augusta cheap offline offline
El Kiosco Mexican Restaurant,Augusta,mexican,10,1,offline,offline,300,4.2,-82.1997,33.4574,cheap,mexican Augusta cheap offline offline
Taste of Balingup,Balingup,modern australian,20,2,offline,offline,21,3.2,115.9844924,-33.7845269,cheap,modern australian Balingup cheap offline offline
Bridge Road Brewers,Beechworth,"pizza, bar food",20,2,offline,offline,237,4.6,146.685852,-36.360439,cheap,"pizza, bar food Beechworth cheap offline offline"
Bardenay,Boise,"american, bar food",25,2,offline,offline,879,4.5,-116.2019,43.6138,cheap,"american, bar food Boise cheap offline offline"
Flatbread Neapolitan Pizzeria,Boise,"italian, pizza",25,2,offline,offline,615,4.6,-116.203466,43.616068,cheap,"italian, pizza Boise cheap offline offline"
Goldy's Breakfast Bistro,Boise,"breakfast, sandwich",25,2,offline,offline,879,4.5,-116.2023,43.6149,cheap,"breakfast, sandwich Boise cheap offline offline"
Chandlers Steakhouse,Boise,"american, seafood, steak",70,4,offline,offline,379,3.9,-116.2064,43.6157,cheap,"american, seafood, steak Boise cheap offline offline"
Bar Gernika Basque Pub & Eatery,Boise,"european, spanish",10,1,offline,offline,303,4.3,-116.2031,43.614,cheap,"european, spanish Boise cheap offline offline"
Barbacoa Restaurant,Boise,"latin american, steak",70,4,offline,offline,538,4.1,-116.185034,43.597235,cheap,"latin american, steak Boise cheap offline offline"
Big Jud's,Boise,"american, burger, sandwich",10,1,offline,offline,334,4.2,-116.2062,43.5945,cheap,"american, burger, sandwich Boise cheap offline offline"
Bittercreek Ale House,Boise,"american, bar food",25,2,offline,offline,555,4.3,-116.2022,43.6167,cheap,"american, bar food Boise cheap offline offline"
Boise Fry Company,Boise,"american, burger",10,1,offline,offline,823,4.4,-116.193409,43.610279,cheap,"american, burger Boise cheap offline offline"
Flying Pie Pizzaria,Boise,pizza,25,2,offline,offline,550,4.1,-116.2625,43.6192,cheap,pizza Boise cheap offline offline
Fork,Boise,"american, burger",25,2,offline,offline,650,4.4,-116.202845,43.616295,cheap,"american, burger Boise cheap offline offline"
Guido's Original New York Style Pizza,Boise,pizza,10,1,offline,offline,410,4.3,-116.199,43.615,cheap,pizza Boise cheap offline offline
Los Beto's,Boise,mexican,10,1,offline,offline,660,4.4,-116.2463,43.6191,cheap,mexican Boise cheap offline offline
Lucianos Italian Restaurant,Boise,"italian, seafood, vegetarian",25,2,offline,offline,360,4.4,-116.245165,43.6051379,cheap,"italian, seafood, vegetarian Boise cheap offline offline"
Mai Thai Restaurant,Boise,"sushi, thai",40,3,offline,offline,340,4.0,-116.2021,43.6162,cheap,"sushi, thai Boise cheap offline offline"
Shige Japanese Cuisine,Boise,"japanese, sushi, teriyaki",25,2,offline,offline,393,4.1,-116.2031,43.6156,cheap,"japanese, sushi, teriyaki Boise cheap offline offline"
The Egg Factory,Boise,breakfast,10,1,offline,offline,422,4.3,-116.281809,43.619274,cheap,breakfast Boise cheap offline offline
Tucanos,Boise,brazilian,40,3,offline,offline,435,4.0,-116.280614,43.591706,cheap,brazilian Boise cheap offline offline
Texas Roadhouse,Boise,"american, bbq, steak",25,2,offline,offline,369,4.0,-116.347304,43.619108,cheap,"american, bbq, steak Boise cheap offline offline"
Brick 29,Boise,american,40,3,offline,offline,487,4.4,-116.5629,43.5777,cheap,american Boise cheap offline offline
Winifreds,Cedar Rapids/Iowa City,"american, mediterranean, seafood",40,3,offline,offline,98,3.7,-91.6336,42.0179,cheap,"american, mediterranean, seafood Cedar Rapids/Iowa City cheap offline offline"
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,"italian, pizza",40,3,offline,offline,365,4.1,-91.6327,42.0281,cheap,"italian, pizza Cedar Rapids/Iowa City cheap offline offline"
El Super Burrito,Cedar Rapids/Iowa City,mexican,10,1,offline,offline,190,4.1,-91.7148,41.9748,cheap,mexican Cedar Rapids/Iowa City cheap offline offline
Granite City Food & Brewery,Cedar Rapids/Iowa City,"american, breakfast, burger",40,3,offline,offline,429,4.1,-91.6224,42.0249,cheap,"american, breakfast, burger Cedar Rapids/Iowa City cheap offline offline"
Irish Democrat,Cedar Rapids/Iowa City,"american, bbq, burger",25,2,offline,offline,430,4.4,-91.6347,42.01,cheap,"american, bbq, burger Cedar Rapids/Iowa City cheap offline offline"
Taste of India,Cedar Rapids/Iowa City,indian,25,2,offline,offline,186,4.2,-91.6499622,42.0215347,cheap,indian Cedar Rapids/Iowa City cheap offline offline
Thai Moon Restaurant,Cedar Rapids/Iowa City,"chinese, sushi, thai",10,1,offline,offline,220,4.2,-91.7266,41.9639,cheap,"chinese, sushi, thai Cedar Rapids/Iowa City cheap offline offline"
Ting's Red Lantern,Cedar Rapids/Iowa City,chinese,10,1,offline,offline,347,4.2,-91.6394,42.0468,cheap,chinese Cedar Rapids/Iowa City cheap offline offline
Monica's,Cedar Rapids/Iowa City,"american, italian, pizza",25,2,offline,offline,161,3.8,-91.569767,41.670466,cheap,"american, italian, pizza Cedar Rapids/Iowa City cheap offline offline"
Exotic India,Cedar Rapids/Iowa City,indian,25,2,offline,offline,160,4.1,-91.5687,41.6685,cheap,indian Cedar Rapids/Iowa City cheap offline offline
Shorts Burger and Shine,Cedar Rapids/Iowa City,burger,10,1,offline,offline,820,4.9,-91.534424,41.660982,cheap,burger Cedar Rapids/Iowa City cheap offline offline
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,"american, breakfast, burger",10,1,offline,offline,488,4.5,-91.531414,41.663849,cheap,"american, breakfast, burger Cedar Rapids/Iowa City cheap offline offline"
